Description,Month,Arrivals
Total arrivals,2021-01-01,39804
Arrivals of residents,2021-01-01,24553
Arrivals of non-residents,2021-01-01,15251
Total arrivals,2021-02-01,38365
Arrivals of residents,2021-02-01,21378
Arrivals of non-residents,2021-02-01,16987
Total arrivals,2021-03-01,39692
Arrivals of residents,2021-03-01,20639
Arrivals of non-residents,2021-03-01,19053
Total arrivals,2021-04-01,54721
Arrivals of residents,2021-04-01,27865
Arrivals of non-residents,2021-04-01,26856
Total arrivals,2021-05-01,72992
Arrivals of residents,2021-05-01,34868
Arrivals of non-residents,2021-05-01,38124
Total arrivals,2021-06-01,138766
Arrivals of residents,2021-06-01,62828
Arrivals of non-residents,2021-06-01,75938
Total arrivals,2021-07-01,246666
Arrivals of residents,2021-07-01,91712
Arrivals of non-residents,2021-07-01,154954
Total arrivals,2021-08-01,257338
Arrivals of residents,2021-08-01,98522
Arrivals of non-residents,2021-08-01,158816
Total arrivals,2021-09-01,126171
Arrivals of residents,2021-09-01,50477
Arrivals of non-residents,2021-09-01,75694
Total arrivals,2021-10-01,74862
Arrivals of residents,2021-10-01,35431
Arrivals of non-residents,2021-10-01,39431
Total arrivals,2021-11-01,68681
Arrivals of residents,2021-11-01,34209
Arrivals of non-residents,2021-11-01,34472
Total arrivals,2021-12-01,72858
Arrivals of residents,2021-12-01,43353
Arrivals of non-residents,2021-12-01,29505
Total arrivals,2022-01-01,59969
Arrivals of residents,2022-01-01,39351
Arrivals of non-residents,2022-01-01,20618
Total arrivals,2022-02-01,58018
Arrivals of residents,2022-02-01,37008
Arrivals of non-residents,2022-02-01,21010
Total arrivals,2022-03-01,61008
Arrivals of residents,2022-03-01,33440
Arrivals of non-residents,2022-03-01,27568
Total arrivals,2022-04-01,73932
Arrivals of residents,2022-04-01,37489
Arrivals of non-residents,2022-04-01,36443
Total arrivals,2022-05-01,121265
Arrivals of residents,2022-05-01,49361
Arrivals of non-residents,2022-05-01,71904
Total arrivals,2022-06-01,174143
Arrivals of residents,2022-06-01,72360
Arrivals of non-residents,2022-06-01,101783
Total arrivals,2022-07-01,278616
Arrivals of residents,2022-07-01,103686
Arrivals of non-residents,2022-07-01,174930
Total arrivals,2022-08-01,299831
Arrivals of residents,2022-08-01,112278
Arrivals of non-residents,2022-08-01,187553
Total arrivals,2022-09-01,176234
Arrivals of residents,2022-09-01,66053
Arrivals of non-residents,2022-09-01,110181
Total arrivals,2022-10-01,108059
Arrivals of residents,2022-10-01,49441
Arrivals of non-residents,2022-10-01,58618
Total arrivals,2022-11-01,77970
Arrivals of residents,2022-11-01,38247
Arrivals of non-residents,2022-11-01,39723
Total arrivals,2022-12-01,80937
Arrivals of residents,2022-12-01,44753
Arrivals of non-residents,2022-12-01,36184
Total arrivals,2023-01-01,75741
Arrivals of residents,2023-01-01,41118
Arrivals of non-residents,2023-01-01,34623
Total arrivals,2023-02-01,73778
