Description,Month,Nights_Spent
Total nights spent,2021-01-01,55273
Nights spent of residents,2021-01-01,32126
Nights spent  of non-residents,2021-01-01,23147
Total nights spent,2021-02-01,55671
Nights spent of residents,2021-02-01,29271
Nights spent  of non-residents,2021-02-01,26400
Total nights spent,2021-03-01,55171
Nights spent of residents,2021-03-01,28011
Nights spent  of non-residents,2021-03-01,27160
Total nights spent,2021-04-01,87134
Nights spent of residents,2021-04-01,41264
Nights spent  of non-residents,2021-04-01,45870
Total nights spent,2021-05-01,142095
Nights spent of residents,2021-05-01,63876
Nights spent  of non-residents,2021-05-01,78219
Total nights spent,2021-06-01,324474
Nights spent of residents,2021-06-01,127522
Nights spent  of non-residents,2021-06-01,196952
Total nights spent,2021-07-01,697052
Nights spent of residents,2021-07-01,221907
Nights spent  of non-residents,2021-07-01,475145
Total nights spent,2021-08-01,986183
Nights spent of residents,2021-08-01,313404
Nights spent  of non-residents,2021-08-01,672779
Total nights spent,2021-09-01,377091
Nights spent of residents,2021-09-01,128861
Nights spent  of non-residents,2021-09-01,248230
Total nights spent,2021-10-01,151723
Nights spent of residents,2021-10-01,56870
Nights spent  of non-residents,2021-10-01,94853
Total nights spent,2021-11-01,131065
Nights spent of residents,2021-11-01,51090
Nights spent  of non-residents,2021-11-01,79975
Total nights spent,2021-12-01,123140
Nights spent of residents,2021-12-01,60983
Nights spent  of non-residents,2021-12-01,62157
Total nights spent,2022-01-01,112180
Nights spent of residents,2022-01-01,60257
Nights spent  of non-residents,2022-01-01,51923
Total nights spent,2022-02-01,103768
Nights spent of residents,2022-02-01,51519
Nights spent  of non-residents,2022-02-01,52249
Total nights spent,2022-03-01,113136
Nights spent of residents,2022-03-01,51931
Nights spent  of non-residents,2022-03-01,61205
Total nights spent,2022-04-01,138541
Nights spent of residents,2022-04-01,59516
Nights spent  of non-residents,2022-04-01,79025
Total nights spent,2022-05-01,265738
Nights spent of residents,2022-05-01,81818
Nights spent  of non-residents,2022-05-01,183920
Total nights spent,2022-06-01,447438
Nights spent of residents,2022-06-01,143093
Nights spent  of non-residents,2022-06-01,304345
Total nights spent,2022-07-01,801208
Nights spent of residents,2022-07-01,254895
Nights spent  of non-residents,2022-07-01,546313
Total nights spent,2022-08-01,961887
Nights spent of residents,2022-08-01,310442
Nights spent  of non-residents,2022-08-01,651445
Total nights spent,2022-09-01,437018
Nights spent of residents,2022-09-01,129859
Nights spent  of non-residents,2022-09-01,307159
Total nights spent,2022-10-01,201009
Nights spent of residents,2022-10-01,80079
Nights spent  of non-residents,2022-10-01,120930
Total nights spent,2022-11-01,127511
Nights spent of residents,2022-11-01,54133
Nights spent  of non-residents,2022-11-01,73378
Total nights spent,2022-12-01,121895
Nights spent of residents,2022-12-01,61635
Nights spent  of non-residents,2022-12-01,60260
Total nights spent,2023-01-01,113635
Nights spent of residents,2023-01-01,57670
Nights spent  of non-residents,2023-01-01,55965
Total nights spent,2023-02-01,110155
Nights spent of residents,2023-02-01,51209
Nights spent  of non-residents,2023-02-01,58946
Total nights spent,2023-03-01,154007
Nights spent of residents,2023-03-01,65342
Nights spent  of non-residents,2023-03-01,88665
Total nights spent,2023-04-01,250769
Nights spent of residents,2023-04-01,96749
Nights spent  of non-residents,2023-04-01,154020
Total nights spent,2023-05-01,389789
Nights spent of residents,2023-05-01,128420
Nights spent  of non-residents,2023-05-01,261369
Total nights spent,2023-06-01,683713
Nights spent of residents,2023-06-01,194606
Nights spent  of non-residents,2023-06-01,489107
Total nights spent,2023-07-01,1187417
Nights spent of residents,2023-07-01,410097
Nights spent  of non-residents,2023-07-01,777320
Total nights spent,2023-08-01,1524990
Nights spent of residents,2023-08-01,510826
Nights spent  of non-residents,2023-08-01,1014164
Total nights spent,2023-09-01,820741
Nights spent of residents,2023-09-01,263740
Nights spent  of non-residents,2023-09-01,557001
Total nights spent,2023-10-01,339285
Nights spent of residents,2023-10-01,143228
Nights spent  of non-residents,2023-10-01,196057
Total nights spent,2023-11-01,229230
Nights spent of residents,2023-11-01,84298
Nights spent  of non-residents,2023-11-01,144932
Total nights spent,2023-12-01,204123
Nights spent of residents,2023-12-01,95074
Nights spent  of non-residents,2023-12-01,109049
Total nights spent,2024-01-01,169714
Nights spent of residents,2024-01-01,74949
Nights spent  of non-residents,2024-01-01,94765
Total nights spent,2024-02-01,168756
Nights spent of residents,2024-02-01,60528
Nights spent  of non-residents,2024-02-01,108228
Total nights spent,2024-03-01,224868
Nights spent of residents,2024-03-01,79152
Nights spent  of non-residents,2024-03-01,145716
Total nights spent,2024-04-01,391836
Nights spent of residents,2024-04-01,114083
Nights spent  of non-residents,2024-04-01,277753
