Description,Month,Arrivals,Visitor_Type,Nights_Spent,Average_Length_of_Stay
Total,2021-01-01,39804,Total,55273,1.3886292834890965
residents,2021-01-01,24553,residents,32126,1.3084348144829552
non-residents,2021-01-01,15251,non-residents,23147,1.517736541866107
Total,2021-02-01,38365,Total,55671,1.451088231460967
residents,2021-02-01,21378,residents,29271,1.3692113387594724
non-residents,2021-02-01,16987,non-residents,26400,1.5541296285394715
Total,2021-03-01,39692,Total,55171,1.3899778292854983
residents,2021-03-01,20639,residents,28011,1.3571878482484616
non-residents,2021-03-01,19053,non-residents,27160,1.4254972970135937
Total,2021-04-01,54721,Total,87134,1.5923320114763984
residents,2021-04-01,27865,residents,41264,1.4808541180692625
non-residents,2021-04-01,26856,non-residents,45870,1.7079982126899016
Total,2021-05-01,72992,Total,142095,1.9467201885138097
residents,2021-05-01,34868,residents,63876,1.8319375932086728
non-residents,2021-05-01,38124,non-residents,78219,2.051699716713881
Total,2021-06-01,138766,Total,324474,2.3382817116584755
residents,2021-06-01,62828,residents,127522,2.029700133698351
non-residents,2021-06-01,75938,non-residents,196952,2.593589507229582
Total,2021-07-01,246666,Total,697052,2.825894124038173
residents,2021-07-01,91712,residents,221907,2.419607030704815
non-residents,2021-07-01,154954,non-residents,475145,3.066361629903068
Total,2021-08-01,257338,Total,986183,3.832247860790089
residents,2021-08-01,98522,residents,313404,3.1810560077952132
non-residents,2021-08-01,158816,non-residents,672779,4.2362167539794475
Total,2021-09-01,126171,Total,377091,2.988729581282545
residents,2021-09-01,50477,residents,128861,2.5528656615884464
non-residents,2021-09-01,75694,non-residents,248230,3.279388062462018
Total,2021-10-01,74862,Total,151723,2.0267024658705353
residents,2021-10-01,35431,residents,56870,1.605091586463831
non-residents,2021-10-01,39431,non-residents,94853,2.405543861428825
Total,2021-11-01,68681,Total,131065,1.9083152545827813
residents,2021-11-01,34209,residents,51090,1.4934666315881786
non-residents,2021-11-01,34472,non-residents,79975,2.319998839637967
Total,2021-12-01,72858,Total,123140,1.6901369787806417
residents,2021-12-01,43353,residents,60983,1.4066615920466865
non-residents,2021-12-01,29505,non-residents,62157,2.10665988815455
Total,2022-01-01,59969,Total,112180,1.870633160466241
residents,2022-01-01,39351,residents,60257,1.5312698533709435
non-residents,2022-01-01,20618,non-residents,51923,2.518333495004365
Total,2022-02-01,58018,Total,103768,1.7885483815367644
residents,2022-02-01,37008,residents,51519,1.392104409857328
non-residents,2022-02-01,21010,non-residents,52249,2.4868633983817228
Total,2022-03-01,61008,Total,113136,1.854445318646735
residents,2022-03-01,33440,residents,51931,1.5529605263157895
non-residents,2022-03-01,27568,non-residents,61205,2.220146546720836
Total,2022-04-01,73932,Total,138541,1.873897635665206
residents,2022-04-01,37489,residents,59516,1.5875590173117449
non-residents,2022-04-01,36443,non-residents,79025,2.1684548472957768
Total,2022-05-01,121265,Total,265738,2.191382509380283
residents,2022-05-01,49361,residents,81818,1.6575434047122222
non-residents,2022-05-01,71904,non-residents,183920,2.557854917668002
Total,2022-06-01,174143,Total,447438,2.569371148998237
residents,2022-06-01,72360,residents,143093,1.977515201768933
non-residents,2022-06-01,101783,non-residents,304345,2.990135877307605
Total,2022-07-01,278616,Total,801208,2.875671174663336
residents,2022-07-01,103686,residents,254895,2.458335744459233
non-residents,2022-07-01,174930,non-residents,546313,3.123037786543189
Total,2022-08-01,299831,Total,961887,3.208097228105166
residents,2022-08-01,112278,residents,310442,2.7649405938830403
non-residents,2022-08-01,187553,non-residents,651445,3.4733915213299706
Total,2022-09-01,176234,Total,437018,2.4797598647253083
residents,2022-09-01,66053,residents,129859,1.9659818630493695
non-residents,2022-09-01,110181,non-residents,307159,2.787767400913043
Total,2022-10-01,108059,Total,201009,1.8601782359636865
residents,2022-10-01,49441,residents,80079,1.6196881131045084
non-residents,2022-10-01,58618,non-residents,120930,2.063018185540278
Total,2022-11-01,77970,Total,127511,1.6353854046428113
residents,2022-11-01,38247,residents,54133,1.4153528381310954
non-residents,2022-11-01,39723,non-residents,73378,1.8472421519019209
Total,2022-12-01,80937,Total,121895,1.5060479138095062
residents,2022-12-01,44753,residents,61635,1.3772261077469667
non-residents,2022-12-01,36184,non-residents,60260,1.6653769621932346
Total,2023-01-01,75741,Total,113635,1.5003102678866136
residents,2023-01-01,41118,residents,57670,1.402548762099324
non-residents,2023-01-01,34623,non-residents,55965,1.616411056234295
Total,2023-02-01,73778,Total,110155,1.493060261866681
residents,2023-02-01,38863,residents,51209,1.3176800555798573
non-residents,2023-02-01,34915,non-residents,58946,1.688271516540169
Total,2023-03-01,79164,Total,154007,1.9454171087868224
residents,2023-03-01,38747,residents,65342,1.686375719410535
non-residents,2023-03-01,40417,non-residents,88665,2.1937551030506963
Total,2023-04-01,115033,Total,250769,2.17997444211661
residents,2023-04-01,47413,residents,96749,2.0405584966148527
non-residents,2023-04-01,67620,non-residents,154020,2.2777284826974267
Total,2023-05-01,167390,Total,389789,2.3286277555409525
residents,2023-05-01,57958,residents,128420,2.2157424341764727
non-residents,2023-05-01,109432,non-residents,261369,2.388414723298487
Total,2023-06-01,260711,Total,683713,2.6224938725255167
residents,2023-06-01,81189,residents,194606,2.3969503257830493
non-residents,2023-06-01,179522,non-residents,489107,2.7244961620302806
Total,2023-07-01,387230,Total,1187417,3.0664385507321232
residents,2023-07-01,150676,residents,410097,2.7217141416018475
non-residents,2023-07-01,236554,non-residents,777320,3.2860150325084336
Total,2023-08-01,492929,Total,1524990,3.093731551602766
residents,2023-08-01,185942,residents,510826,2.7472330081423237
non-residents,2023-08-01,306987,non-residents,1014164,3.3036056901432307
Total,2023-09-01,299781,Total,820741,2.7378019287413147
residents,2023-09-01,105884,residents,263740,2.490839031392845
non-residents,2023-09-01,193897,non-residents,557001,2.872664352723353
Total,2023-10-01,152831,Total,339285,2.2200011777715254
residents,2023-10-01,71201,residents,143228,2.011600960660665
non-residents,2023-10-01,81630,non-residents,196057,2.4017763077300014
Total,2023-11-01,111865,Total,229230,2.049166405935726
residents,2023-11-01,48184,residents,84298,1.7495019093475013
non-residents,2023-11-01,63681,non-residents,144932,2.2759064713179757
Total,2023-12-01,119677,Total,204123,1.705615949597667
residents,2023-12-01,59628,residents,95074,1.5944522707452875
non-residents,2023-12-01,60049,non-residents,109049,1.8160002664490666
Total,2024-01-01,96256,Total,169714,1.763152426861702
residents,2024-01-01,46988,residents,74949,1.5950668255724867
non-residents,2024-01-01,49268,non-residents,94765,1.9234594462937404
Total,2024-02-01,91231,Total,168756,1.8497659786695313
residents,2024-02-01,36068,residents,60528,1.6781634690029943
non-residents,2024-02-01,55163,non-residents,108228,1.9619672606638507
Total,2024-03-01,115287,Total,224868,1.950506128184444
residents,2024-03-01,47085,residents,79152,1.6810449187639376
non-residents,2024-03-01,68202,non-residents,145716,2.1365355854667016
Total,2024-04-01,186354,Total,391836,2.102643356193052
residents,2024-04-01,56622,residents,114083,2.014817562078344
non-residents,2024-04-01,129732,non-residents,277753,2.140975241266611
Total,2024-05-01,244059,Total,510285,2.0908263985347806
residents,2024-05-01,65426,residents,125798,1.9227524225842938
non-residents,2024-05-01,178633,non-residents,384487,2.1523850576321286
Total,2024-06-01,365185,Total,869073,2.3798157098456945
residents,2024-06-01,96164,residents,206149,2.1437232228276693
non-residents,2024-06-01,269021,non-residents,662924,2.464209113786656
Total,2024-07-01,526293,Total,1378296,2.618875797322024
residents,2024-07-01,164015,residents,435366,2.654427948663232
non-residents,2024-07-01,362278,non-residents,942930,2.602780185382496
Total,2024-08-01,650593,Total,1697681,2.6094363142548413
residents,2024-08-01,188167,residents,511717,2.719483225007573
non-residents,2024-08-01,462426,non-residents,1185964,2.5646568315795393
Total,2024-09-01,402136,Total,994932,2.474118208765194
residents,2024-09-01,108227,residents,271802,2.511406580612971
non-residents,2024-09-01,293909,non-residents,723130,2.4603873988207234
Total,2024-10-01,218541,Total,488388,2.234766016445427
residents,2024-10-01,71674,residents,144879,2.0213606049613526
non-residents,2024-10-01,146867,non-residents,343509,2.3389120769131253
Total,2024-11-01,146354,Total,311262,2.1267748062915945
residents,2024-11-01,49510,residents,87044,1.758109472833771
non-residents,2024-11-01,96844,non-residents,224218,2.3152492668621703
Total,2024-12-01,136152,Total,240623,1.7673115341676948
residents,2024-12-01,63402,residents,103310,1.629443866124097
non-residents,2024-12-01,72750,non-residents,137313,1.8874639175257732
Total,2025-01-01,124160,Total,233648,1.8818298969072165
residents,2025-01-01,54184,residents,91600,1.6905359515724199
non-residents,2025-01-01,69976,non-residents,142048,2.0299531267863267
Total,2025-02-01,123957,Total,240018,1.9363004912994022
residents,2025-02-01,48946,residents,86555,1.7683773954970785
non-residents,2025-02-01,75011,non-residents,153463,2.0458732719201183
Total,2025-03-01,141668,Total,293744,2.0734675438348815
residents,2025-03-01,54079,residents,101124,1.8699310268311173
non-residents,2025-03-01,87589,non-residents,192620,2.19913459452671
Total,2025-04-01,213664,Total,475233,2.2242071663920924
residents,2025-04-01,64043,residents,133662,2.0870665021938386
non-residents,2025-04-01,149621,non-residents,341571,2.2829081479204123
Total,2025-05-01,321580,Total,671231,2.0872908762982774
residents,2025-05-01,77595,residents,151696,1.954971325472002
non-residents,2025-05-01,243985,non-residents,519535,2.129372707338566
Total,2025-06-01,501176,Total,1201253,2.396868565134803
residents,2025-06-01,131493,residents,284534,2.1638718410865976
non-residents,2025-06-01,369683,non-residents,916719,2.4797434558797673
Total,2025-07-01,708605,Total,1839778,2.596337875120836
residents,2025-07-01,182303,residents,478106,2.6225898641273044
non-residents,2025-07-01,526302,non-residents,1361672,2.5872445858081483
Total,2025-08-01,878901,Total,2263355,2.5752104048123736
residents,2025-08-01,228793,residents,571802,2.4992110772619793
non-residents,2025-08-01,650108,non-residents,1691553,2.6019569056218352
Total,2025-09-01,529619,Total,1189483,2.2459220685058505
residents,2025-09-01,124608,residents,284801,2.2855755649717513
non-residents,2025-09-01,405011,non-residents,904682,2.233722047055512
Total,2025-10-01,304047,Total,573215,1.885284183037491
residents,2025-10-01,75844,residents,140327,1.850205685354148
non-residents,2025-10-01,228203,non-residents,432888,1.8969426344088378
Total,2025-11-01,190239,Total,404055,2.1239335782883635
residents,2025-11-01,63393,residents,107038,1.6884829555313678
non-residents,2025-11-01,126846,non-residents,297017,2.341555902432871
Total,2025-12-01,173194,Total,303555,1.752687737450489
residents,2025-12-01,65817,residents,112349,1.7069905951349955
non-residents,2025-12-01,107377,non-residents,191206,1.7806979148234725
Total,2026-01-01,142924,Total,254775,1.782590747530156
residents,2026-01-01,63279,residents,106616,1.6848559553722404
non-residents,2026-01-01,79645,non-residents,148159,1.8602423253186013
Total,2026-02-01,135986,Total,248713,1.828960334152045
residents,2026-02-01,54132,residents,91121,1.683311165299638
non-residents,2026-02-01,81854,non-residents,157592,1.925281598944462
Total,2026-03-01,171068,Total,331478,1.937697289966563
residents,2026-03-01,62677,residents,111044,1.7716865835952582
non-residents,2026-03-01,108391,non-residents,220434,2.0336928342759086
Total,2026-04-01,255742,Total,501839,1.9622862103213394
residents,2026-04-01,72288,residents,138819,1.9203602257636123
non-residents,2026-04-01,183454,non-residents,363020,1.9788066763330316
Total,2026-05-01,361401,Total,725112,2.0063917919430216
residents,2026-05-01,86434,residents,160831,1.8607376726751048
non-residents,2026-05-01,274967,non-residents,564281,2.052177170351351
Total,2026-06-01,586608,Total,1319136,2.248752147942067
residents,2026-06-01,140762,residents,318242,2.260851650303349
non-residents,2026-06-01,445846,non-residents,1000894,2.2449321066018313
